title,url,thumbnail,color
Kehlani | A COLORS SHOW,https://www.youtube.com/watch?v=vD1bemWtjUU,https://i.ytimg.com/vi/vD1bemWtjUU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLANEZTuBDy7tXomZIGjehdo3V0JyQ,#29030e
MARO - oxalá | A COLORS ENCORE,https://www.youtube.com/watch?v=rnYedFwfyaQ,https://i.ytimg.com/vi/rnYedFwfyaQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAymhOon8TR2dJ35lxHZUqRAJ3-HA,#290509
Rawayana - Reyimiller | A COLORS SHOW,https://www.youtube.com/watch?v=qoks2mx5YSM,https://i.ytimg.com/vi/qoks2mx5YSM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD-6BI4KnW4UOaMsv9tc1SPztD5pw,#3b0d10
Berq x Paula Hartmann - Zahl mir Deinen Schmerz heim | A COLORS ENCORE,https://www.youtube.com/watch?v=0r4W_DpbtEI,https://i.ytimg.com/vi/0r4W_DpbtEI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCYOwrKT_hhCXfkCizJ4IJkoPl_bQ,#2c3928
Silvana Estrada - Un Rayo De Luz | A COLORS SHOW,https://www.youtube.com/watch?v=VABGTsPV7wY,https://i.ytimg.com/vi/VABGTsPV7wY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC_sY5Q90PtO_biTDUKjhTXcBZsKQ,#918e95
Quadeca - MONDAY | A COLORS SHOW,https://www.youtube.com/watch?v=08MnHK3qW_A,https://i.ytimg.com/vi/08MnHK3qW_A/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCZRercF6JCntG40PyKgb9Dt4SiAw,#1362a4
WHATMORE - put it on hearts | A COLORS SHOW,https://www.youtube.com/watch?v=DWyXxf8qGa4,https://i.ytimg.com/vi/DWyXxf8qGa4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDEea5D89FRSqj1MIBkrw4PHukzAg,#a69b41
SSIO - Ich Bin Raus | A COLORS SHOW,https://www.youtube.com/watch?v=rl0HAGx6X0I,https://i.ytimg.com/vi/rl0HAGx6X0I/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDJtnkz4gwspxWF-j_wQOx7na43Dg,#85070b
Ninho - Skywalker Haze | A COLORS SHOW,https://www.youtube.com/watch?v=UUJekgfb_98,https://i.ytimg.com/vi/UUJekgfb_98/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAKNo6WY-abxlEdduCSXl-hlTC8FA,#778087
Ty Dolla $ign - I WISH | A COLORS SHOW,https://www.youtube.com/watch?v=PPYzacnHs3c,https://i.ytimg.com/vi/PPYzacnHs3c/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDqFhmXmJb3Et_RJidDdXJFIAj73Q,#d8dad9
Olivia Dean - A Couple Minutes | A COLORS SHOW,https://www.youtube.com/watch?v=euYe6W7d-rI,https://i.ytimg.com/vi/euYe6W7d-rI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAKNbsspq1Q1ewm464asDV1mRaWqg,#b9adb7
UMI - 10AM | A COLORS SHOW,https://www.youtube.com/watch?v=Gou7cD92xJM,https://i.ytimg.com/vi/Gou7cD92xJM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCLILtc2CCZGcnP5ZJDUVloQogW5g,#0e223a
Dear Silas - Still Southern Playalistic | A COLORS SHOW,https://www.youtube.com/watch?v=Z2K-NeTBjP0,https://i.ytimg.com/vi/Z2K-NeTBjP0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAZCkHr7_o65_i-j5kLqW6ZGylT7w,#905a8e
Indys Blu - Saddest Song | A COLORS SHOW,https://www.youtube.com/watch?v=-JFIOM4UnH0,https://i.ytimg.com/vi/-JFIOM4UnH0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD8Dd9Hlri6MvqybqPIOvS_qRIVqg,#791740
Ray Vaughn - 3PM @ DAIRY | A COLORS SHOW,https://www.youtube.com/watch?v=urQeYal9uyE,https://i.ytimg.com/vi/urQeYal9uyE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDtYqv_dpyY6IWMwYr1hUi1IvPqkQ,#1d3036
Nono La Grinta - LOVE YOU | A COLORS SHOW,https://www.youtube.com/watch?v=bD_mKJP4PKU,https://i.ytimg.com/vi/bD_mKJP4PKU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAzGvG_qw-JS-6CEkZYQ7FlRKtZ2Q,#0b052b
SABRI - Sold Myself For Love | A COLORS SHOW,https://www.youtube.com/watch?v=F30d7Z2qdXU,https://i.ytimg.com/vi/F30d7Z2qdXU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDXI5RpLbCwMVlYO0IQYDXrLM28nQ,#7b4787
Jon Batiste - LEAN ON MY LOVE | A COLORS SHOW,https://www.youtube.com/watch?v=rExWNiL_-xI,https://i.ytimg.com/vi/rExWNiL_-xI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCdlF8MIxtQf4kpkBBluBA4Q2yXuA,#802960
La Lá - También te vi | A COLORS SHOW,https://www.youtube.com/watch?v=6nF-2zr1muc,https://i.ytimg.com/vi/6nF-2zr1muc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLArszHVNiWyH-cnUYRdgAFagselpA,#5f2608
Penyair - Bambú | A COLORS SHOW,https://www.youtube.com/watch?v=-LtINl7lFss,https://i.ytimg.com/vi/-LtINl7lFss/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDbaowWQ3tUZFVWqQRk7aBltfXlHw,#3e3468
The Favors - Lake George | A COLORS SHOW,https://www.youtube.com/watch?v=tC2Or290etU,https://i.ytimg.com/vi/tC2Or290etU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAaUlZJ5gFPs48VW_vPkpn7iYlHBQ,#5f8ba6
Souly - Motte | A COLORS SHOW,https://www.youtube.com/watch?v=pBOscGM4sy0,https://i.ytimg.com/vi/pBOscGM4sy0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBoBzs8ENc-FfErvQw1xjP1U67YQA,#2c190b
Ray Lozano - HiYA | A COLORS SHOW,https://www.youtube.com/watch?v=ME7J5fYH4nU,https://i.ytimg.com/vi/ME7J5fYH4nU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCpuByFM895NFt0Q13V2RbxF2akOw,#780f0c
Bashy - Lost In Dreams | A COLORS ENCORE,https://www.youtube.com/watch?v=mE5boxK8388,https://i.ytimg.com/vi/mE5boxK8388/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCQN5R0LnH8Tx-vvvlyyLRUUoP1kg,#000000
Gayathri Krishnan - Made It | A COLORS SHOW,https://www.youtube.com/watch?v=Qi05tuyoQ4o,https://i.ytimg.com/vi/Qi05tuyoQ4o/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDAlp4ZGjXN34SQDksNcuNsAUx7uQ,#92903d
Chezile - Favor | A COLORS SHOW,https://www.youtube.com/watch?v=nbalF6qjWMM,https://i.ytimg.com/vi/nbalF6qjWMM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBbxF3CpE_xt2np-Fn0EeFYFH660Q,#0d3d51
Blondshell - Change | A COLORS SHOW,https://www.youtube.com/watch?v=jc9LEk57HYQ,https://i.ytimg.com/vi/jc9LEk57HYQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBALG6t7WEAlJC3MwbFmuROlc8ksQ,#a3a573
GIVĒON - KEEPER | A COLORS SHOW,https://www.youtube.com/watch?v=5aT5Mh8Muws,https://i.ytimg.com/vi/5aT5Mh8Muws/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC0Q9f6EWGdGVZN8WYLmPeQzxiFGg,#294514
